Charging Point Number,Transaction Start,Charge Start,Charge End,Transaction End,Start Wh,End Wh,Total Wh,Connect Time
6118,01/01/2020 02:04:13,01/01/2020 02:04:14,01/01/2020 09:42:50,01/01/2020 09:46:41,103497,126990,23493,462
6132,01/01/2020 13:40:41,01/01/2020 13:40:42,01/01/2020 14:24:48,01/01/2020 14:24:50,22619,25094,2475,44
6184,01/01/2020 16:37:09,01/01/2020 16:37:10,01/01/2020 16:50:23,01/01/2020 16:50:28,3373,4063,690,13
6132,01/01/2020 22:45:53,01/01/2020 22:45:54,02/01/2020 02:11:46,02/01/2020 02:11:59,25139,37557,12418,206
6132,02/01/2020 12:17:40,02/01/2020 12:17:41,02/01/2020 15:00:28,02/01/2020 15:00:28,37607,47385,9778,162
6184,02/01/2020 15:52:11,02/01/2020 15:52:12,02/01/2020 16:08:50,02/01/2020 16:08:53,4132,5026,894,16
6126,03/01/2020 10:31:43,03/01/2020 10:31:45,03/01/2020 10:48:38,03/01/2020 10:48:40,33772,34815,1043,16
6124,03/01/2020 15:54:45,03/01/2020 15:54:47,03/01/2020 18:29:45,03/01/2020 18:29:45,33645,42706,9061,155
6132,03/01/2020 12:22:14,03/01/2020 12:22:15,03/01/2020 16:48:42,03/01/2020 16:48:48,47551,63616,16065,266
6118,04/01/2020 00:11:40,04/01/2020 00:11:41,04/01/2020 10:42:50,04/01/2020 11:24:08,127431,151058,23627,672
6143,04/01/2020 10:34:11,04/01/2020 10:34:16,04/01/2020 11:00:58,04/01/2020 11:01:16,27654,29235,1581,27
6136,04/01/2020 11:08:15,04/01/2020 11:08:19,04/01/2020 11:51:55,04/01/2020 11:52:05,1910,4657,2747,43
6139,04/01/2020 11:42:44,04/01/2020 11:42:45,04/01/2020 12:01:13,04/01/2020 12:01:13,129948,131007,1059,18
6143,04/01/2020 11:55:14,04/01/2020 11:55:18,04/01/2020 18:31:19,04/01/2020 18:31:42,29239,53911,24672,396
6139,04/01/2020 12:01:35,04/01/2020 12:01:36,04/01/2020 14:06:15,04/01/2020 14:06:15,131008,137853,6845,124
6116,04/01/2020 18:36:15,04/01/2020 18:36:22,04/01/2020 20:49:04,04/01/2020 20:50:15,123284,130208,6924,134
6118,04/01/2020 23:54:21,04/01/2020 23:54:22,05/01/2020 10:12:49,05/01/2020 10:58:07,161082,185226,24144,663
6143,05/01/2020 16:53:59,05/01/2020 16:54:03,05/01/2020 18:16:23,05/01/2020 18:16:23,54021,59051,5030,82
