Charging event,Chargepoint ID,Borough,Operator,Plug in Date and Time,Unplug Date and Time,Charge start Date and Time,Charge end Date and Time,Total kWh
49183,6132,Barnet,CityEV,30/06/2021 20:25:50,01/07/2021 07:03:16,30/06/2021 20:25:51,01/07/2021 01:11:46,13.978
49195,6189,Barnet,CityEV,30/06/2021 14:44:29,01/07/2021 05:03:24,30/06/2021 14:44:31,01/07/2021 01:02:34,32.417
49197,6118,Barnet,CityEV,30/06/2021 17:03:49,01/07/2021 05:41:51,30/06/2021 17:03:57,01/07/2021 00:06:03,24.785
49247,6116,Barnet,CityEV,01/07/2021 11:27:28,01/07/2021 13:57:45,01/07/2021 11:27:29,01/07/2021 13:55:54,8.523
49252,6138,Barnet,CityEV,01/07/2021 09:32:58,01/07/2021 11:54:12,01/07/2021 09:33:04,01/07/2021 11:38:22,6.558
49262,6175,Barnet,CityEV,01/07/2021 09:44:32,01/07/2021 12:21:56,01/07/2021 09:44:38,01/07/2021 12:21:22,4.628
49271,6106,Barnet,CityEV,01/07/2021 12:35:01,01/07/2021 13:12:17,01/07/2021 12:35:02,01/07/2021 13:12:15,2.104
49273,6130,Barnet,CityEV,01/07/2021 06:11:09,01/07/2021 13:26:29,01/07/2021 06:11:13,01/07/2021 13:26:02,25.981
49274,6118,Barnet,CityEV,01/07/2021 07:38:54,01/07/2021 13:41:49,01/07/2021 07:38:57,01/07/2021 10:42:52,8.225
49327,6179,Barnet,CityEV,01/07/2021 14:02:40,01/07/2021 18:54:08,01/07/2021 14:02:49,01/07/2021 18:24:23,14.688
49328,6132,Barnet,CityEV,01/07/2021 19:01:52,02/07/2021 07:06:53,01/07/2021 19:01:54,02/07/2021 01:37:31,20.761
49337,6118,Barnet,CityEV,01/07/2021 17:06:28,01/07/2021 20:12:39,01/07/2021 17:06:30,01/07/2021 20:12:32,11.442
49345,6189,Barnet,CityEV,01/07/2021 16:45:25,02/07/2021 04:44:51,01/07/2021 16:45:30,01/07/2021 23:25:25,23.216
49346,6170,Barnet,CityEV,01/07/2021 20:45:43,02/07/2021 05:09:29,01/07/2021 20:45:45,02/07/2021 05:09:26,29.233
49354,6136,Barnet,CityEV,01/07/2021 22:13:42,02/07/2021 07:16:55,01/07/2021 22:13:44,02/07/2021 07:16:53,28.974
49375,6151,Barnet,CityEV,01/07/2021 19:13:30,02/07/2021 09:53:01,01/07/2021 19:13:31,02/07/2021 09:52:49,50.018
49381,6123,Barnet,CityEV,02/07/2021 09:50:49,02/07/2021 10:23:38,02/07/2021 09:50:51,02/07/2021 10:23:35,1.861
49397,6118,Barnet,CityEV,02/07/2021 07:13:51,02/07/2021 11:50:27,02/07/2021 07:13:52,02/07/2021 11:50:04,17.848
49412,6179,Barnet,CityEV,02/07/2021 12:00:35,02/07/2021 12:36:39,02/07/2021 12:00:37,02/07/2021 12:36:30,2.164
49449,6189,Barnet,CityEV,02/07/2021 14:30:10,02/07/2021 16:15:23,02/07/2021 14:30:12,02/07/2021 16:15:21,5.851
49483,6110,Barnet,CityEV,02/07/2021 22:31:45,03/07/2021 10:08:55,02/07/2021 22:31:46,03/07/2021 06:22:06,26.408
49489,6184,Barnet,CityEV,02/07/2021 18:03:52,03/07/2021 06:27:32,02/07/2021 18:04:00,03/07/2021 06:27:26,28.329
49495,6118,Barnet,CityEV,02/07/2021 20:16:07,03/07/2021 07:39:07,02/07/2021 20:16:14,03/07/2021 03:18:04,23.858
49497,6189,Barnet,CityEV,02/07/2021 16:29:14,03/07/2021 08:02:26,02/07/2021 16:29:16,02/07/2021 23:12:37,20.704
49500,6192,Barnet,CityEV,03/07/2021 08:28:58,03/07/2021 15:03:48,03/07/2021 08:29:00,03/07/2021 14:26:20,18.779
49535,6156,Barnet,CityEV,03/07/2021 09:53:39,03/07/2021 12:24:51,03/07/2021 09:53:41,03/07/2021 12:19:23,8.443
49536,6139,Barnet,CityEV,03/07/2021 09:33:07,03/07/2021 12:27:42,03/07/2021 09:33:08,03/07/2021 12:26:40,11.29
